sentence,language
"Ben Hardy, pseudonimo di Ben Jones (Bournemouth, 2 gennaio 1991), è un attore e modello britannico.",italian
"L'Arado S I era un biplano da addestramento civile prodotto dall'azienda tedesca Arado Flugzeugwerke GmbH alla metà degli anni venti.
Il primo dei tre prototipi è stato motorizzato con un radiale 3 cilindri Bristol Lucifer, mentre i successivi due esemplari, denominati Arado S.Ia, sono stati equipaggiati con il Siemens-Halske Sh 12 a 9 cilindri singola stella. Quest'ultimo motore venne utilizzato anche per equipaggiare l'Arado S III, un modello praticamente identico di cui solo un unico prototipo è stato costruito e venduto alla Turchia.",italian
Il Rainier International Tennis Classic è stato un torneo di tennis facente parte del Grand Prix giocato dal 1972 al 1973 a Seattle negli Stati Uniti.,italian
"I Giochi della XXIII Olimpiade (in inglese Games of the XXIII Olympiad) sono stati una manifestazione sportiva internazionale svoltasi a Los Angeles, negli Stati Uniti d'America, dal 28 luglio al 12 agosto 1984. Caratteristica dei giochi fu il boicottaggio, quattro anni dopo quello americano a Mosca 1980, dei paesi del Blocco sovietico (ad eccezione della Romania, la quale partecipò regolarmente a tutte le competizioni tranne il torneo di calcio, a cui rinunciò nonostante la qualificazione ottenuta sul campo).
Vi parteciparono 6829 atleti in rappresentanza di 140 paesi. La ""stella"" dei Giochi fu Carl Lewis che emulò Jesse Owens vincendo quattro ori nell'atletica (100, 200, lungo e staffetta 4x100). Fu la passerella degli atleti Usa con Edwin Moses (400 hs), Joan Benoit (maratona), Valerie Brisco-Hooks (200) e Evelyn Ashford (100), Rick Carey (100 e 200 dorso), Greg Louganis (trampolino e piattaforma), Michael Jordan (basket) e Mary Lou Retton (ginnastica). Tra i vincitori di bandiera diversa, Daley Thompson (Regno Unito) nel decathlon, Saïd Aouita (Marocco) nei 5000 e l'italiano Alberto Cova nei 10000.
Assente dal 1948, la Cina fu autrice di un brillante ritorno con un bottino di 32 medaglie (di cui 15 ori).",italian
Grandpa è un cortometraggio muto del 1912. Il nome del regista non viene riportato nei credit.,italian
"La minzione è l'insieme degli atti fisiologici, volontari e involontari, che determinano l'espulsione dell'urina contenuta nella vescica attraverso l'uretra.",italian
"Il poebrodonte (gen. Poebrodon) è un mammifero artiodattilo estinto, appartenente ai camelidi. Visse nell'Eocene medio (circa 43 - 40 milioni di anni fa) e i suoi resti fossili sono stati ritrovati in Nordamerica.",italian
"I campionati mondiali di sci alpino sono una competizione sportiva a cadenza biennale organizzata dalla Federazione Internazionale Sci (FIS), in cui si assegnano i titoli mondiali delle diverse specialità dello sci alpino.
Il primo campionato mondiale di sci alpino si tenne nel 1931, e fino al 1939 vennero disputati ogni anno. Sospesi a causa della Seconda guerra mondiale, i mondiali vennero ripresi nel 1948 con cadenza biennale. Fino al 1982 i mondiali si disputarono negli anni pari, e negli anni in cui si svolgevano i Giochi olimpici invernali le gare olimpiche erano valide anche come gare del campionato del mondo. Quindi da St. Moritz 1948 a Lake Placid 1980 i vincitori delle medaglie d'oro olimpiche dello sci alpino erano anche campioni mondiali. Dal 1985 i mondiali sono stati spostati agli anni dispari, per evitare la concomitanza con i Giochi Olimpici. Eccezionalmente, i mondiali di Sierra Nevada, originariamente in programma per il 1995, furono posticipati all'anno successivo per mancanza di neve.",italian
La gara del Getto del peso dei Giochi della III Olimpiade si tenne il 31 agosto 1904 al Francis Field della Washington University di Saint Louis.,italian
"I Farnese furono un'influente e nobile dinastia del Rinascimento italiano, che governò il Ducato di Parma e Piacenza, dal 1545 al 1731, e il Ducato di Castro, dal 1537 al 1649.
Tra i suoi membri più importanti si ricordano papa Paolo III, il cardinale Alessandro Farnese, il duca Alessandro Farnese (III duca di Parma e Piacenza, IV duca di Castro, e governatore dei Paesi Bassi spagnoli) e la regina Elisabetta Farnese (regina consorte di Spagna e ultima erede dei Farnese).
I Farnese, inoltre, furono grandi mecenati d'arte e durante i secoli collezionarono o fecero commissionare molte opere, che fanno parte di quella raccolta che è oggi nota come Collezione Farnese. Inoltre, la famiglia fece realizzare molti edifici, come il Palazzo Farnese e la Chiesa del Gesù a Roma.",italian
"L'Infiammazione eritematosa è una tipologia di flogosi che si presenta come un arrossamento locale, dovuto principalmente a iperemia attiva, per il rilascio degli sfinteri precapillari, con iperafflusso di sangue ma quasi assente migrazione leucocitaria ed essudazione.
Cause di questa possono essere sostanze chimiche scarsamente irritanti o a basse dosi, come anche stimoli fisici lievi (per esempio raggi ultravioletti di primo grado o lievi traumi).
Rappresenta il primo stadio di ogni tipo di flogosi, infatti può concludersi o evolvere in un altro tipo flogistico.",italian
Henrichemont è un comune francese di 1.863 abitanti situato nel dipartimento del Cher nella regione del Centro-Valle della Loira.,italian
Daniela Zeiser (12 settembre 1983) è un'ex sciatrice alpina austriaca.,italian
"Giovanni Conenna (... – ...) è stato un calciatore italiano, di ruolo attaccante.",italian
"La secologanina sintasi è un enzima appartenente alla classe delle ossidoreduttasi, che catalizza la seguente reazione:

loganina + NADPH + H+ + O2 ⇄ secologanina + NADP+ + 2 H2OL'enzima è una proteina eme-tiolata (P-450). La secologanina è il precursore degli alcaloidi monoterpenoidi dell'indolo e dell'ipecac.",italian
"L'Embraer EMB 110 Bandeirante è un aereo di linea regionale, bimotore, monoplano ad ala bassa a sbalzo, prodotto dalla brasiliana Embraer. Ha compiuto il primo volo il 9 agosto 1972.
Il nome Bandeirante deriva da Bandeirantes, gli esploratori portoghesi che permisero la colonizzazione del Brasile.",italian
"Rosewood è stata una serie televisiva statunitense, trasmessa dal 23 settembre 2015 su Fox.
Il 7 aprile 2016 la serie viene rinnovata per una seconda stagione. Il 9 maggio 2017 viene cancellata dopo sole due stagioni.
In Italia la serie va in onda dal 17 giugno 2016 su Fox Crime, canale pay della piattaforma Sky, mentre in chiaro è trasmessa dal 7 luglio 2017 su Rai 2.",italian
"Donald Pierce è un personaggio dei fumetti creato da Chris Claremont e John Byrne nel 1980, pubblicato dalla Marvel Comics. Trattasi di un cyborg, membro del Club infernale con il titolo di Alfiere Bianco ed è comunemente un nemico degli X-Men. Appare per la prima volta in The Uncanny X-Men (Vol. 1) n. 132 dell'aprile 1980.
Il nome e l'aspetto del personaggio sono ispirati all'attore canadese Donald Sutherland.",italian
"L'intrusa (The Trespasser) è un film del 1929, diretto da Edmund Goulding, che si misurò per la prima volta con il cinema sonoro.
Nel 1937, Goulding riprese la storia, girandone un remake, Vivo per il mio amore (That Certain Woman) con protagonista Bette Davis.",italian
Marathon è un romanzo storico di Andrea Frediani pubblicato nel 2011.,italian
"291633 Heyun è un asteroide della fascia principale. Scoperto nel 2006, presenta un'orbita caratterizzata da un semiasse maggiore pari a 3,1077695 UA e da un'eccentricità di 0,1526773, inclinata di 12,66397° rispetto all'eclittica.",italian
"A Real Live One è il secondo album dal vivo del gruppo musicale britannico Iron Maiden, pubblicato il 22 marzo 1993 dalla EMI.",italian
La 'ndrina Dragone è una cosca malavitosa o 'ndrina della ndrangheta calabrese originaria di Cutro alleata con i Mannolo di San Leonardo di Cutro e gli Arena di Isola Capo Rizzuto.,italian
"Il Grand Prix de Tennis de Lyon 1988 è stato un torneo di tennis giocato sul cemento indoor. Si è giocato al Palais des Sports de Gerland di Lione in Francia. È stata la 2ª edizione del torneo, che fa parte del Nabisco Grand Prix 1988. Il torneo si è giocato dall'8 al 15 febbraio 1988.",italian
"Wang Deming, 王大明 (Pechino, aprile 1955), è un artista marziale e attore cinese.",italian
"Ninja Terminator è un film del 1985 scritto e diretto da Godfrey Ho. Prodotto da Joseph Lai e Betty Chan, vede protagonisti Richard Harrison, Wong Cheng Li e Philip Ko.",italian
"Dhuri è una città dell'India di 49.290 abitanti, situata nel distretto di Sangrur, nello stato federato del Punjab. In base al numero di abitanti la città rientra nella classe III (da 20.000 a 49.999 persone).",italian
"27373 Davidvernon è un asteroide della fascia principale. Scoperto nel 2000, presenta un'orbita caratterizzata da un semiasse maggiore pari a 2,3737708 UA e da un'eccentricità di 0,0562719, inclinata di 5,29430° rispetto all'eclittica.",italian
"Allocchio Bacchini è stata un'azienda italiana del settore elettronico, una delle prime dell'industria elettronica nazionale sviluppatasi nel primo dopoguerra.",italian
"Paperino fornaretto di Venezia è una storia a fumetti Disney di Osvaldo Pavese e Giovan Battista Carpi, pubblicata per la prima volta su Topolino n. 428 del 9 febbraio 1964. È una parodia del dramma Il fornaretto di Francesco Dall'Ongaro.",italian
"Walter Schuster (Lermoos, 2 giugno 1929 – 13 gennaio 2018) è stato uno sciatore alpino austriaco.",italian
"Blons è un comune austriaco di 357 abitanti nel distretto di Bludenz, nel Vorarlberg.",italian
"La Somalia francese fu un possedimento dell'impero coloniale francese situato nella regione del Corno d'Africa; istituito come colonia nel 1896 con il nome ufficiale di Costa francese dei somali (in francese Côte française des Somalis), divenne un territorio d'oltremare della Francia nel 1946 assumendo poi il nome di Territorio francese degli Afar e degli Issa (in francese Territoire français des Afars et des Issas) nel 1967.
Il territorio ottenne l'indipendenza dalla Francia il 27 giugno 1977, divenendo il moderno Stato del Gibuti.",italian
Il distretto di Spandau è il quinto distretto (Bezirk) di Berlino.,italian
"Il Monte-Carlo Rolex Masters, conosciuto come Masters di Monte-Carlo, è un torneo di tennis maschile appartenente alla categoria ATP World Tour Masters 1000, ovvero la categoria più importante dopo quella che racchiude i quattro tornei dello Slam. La competizione si svolge nel Principato di Monaco. La manifestazione si svolge nel mese di aprile. Vincitore dell'edizione del 2018 è stato Rafael Nadal.",italian
"Lo stile nominale caratterizza i testi in cui si fa uso di poche forme verbali per privilegiare invece quelle di nomi, sostantivi e aggettivi (si tratta cioè dell'uso dei nomi che indicano dei processi o delle situazioni).
In virtù dello stile nominale, è inoltre possibile ottenere risultati particolari in un testo letterario. Peraltro, questo stile è comune nella burocrazia e nei titoli dei giornali, nei quali non poche sono le frasi nominali.
La rinuncia a forme verbali si concretizza nella nominalizzazione dell'enunciato: per esempio, anziché dire «Mi dispiace che i miei amici siano partiti» sarà possibile dire «Mi dispiace per la partenza dei miei amici».
Oltreché mediante nominalizzazione (1), la rinuncia ai verbi può essere attuata ricorrendo all'espediente dell'ellissi (2): in tal caso, il verbo sarà semplicemente sottinteso (a fine esemplificativo, indicheremo tale omissione fra parentesi quadre).
(1) Macabra uccisione di un anziano al dormitorio comunale
(2) Anziano [è stato] ucciso a Senigallia al dormitorio comunale
Proseguendo, un enunciato che sia completamente privo di verbo si definisce frase nominale (3):
(3) Panico e intervento delle forze dell'ordine dopo l'omicidio al dormitorio comunale
In ultimo, ad accompagnare lo stile nominale sono soprattutto i fenomeni di subordinazione implicita (ad esempio, tramite l'uso del gerundio o del participio).",italian
"Costantino Fittante (Chiaravalle Centrale, 1º dicembre 1933) è un politico e insegnante italiano, già deputato della Repubblica Italiana.",italian
"Il Cray XD1 era un supercomputer di fascia bassa prodotto da Cray Inc. e basato su processori a 64 bit AMD Opteron utilizzanti una Direct Connect Architecture tramite HyperTransport per rimuovere i colli di bottiglia dovuti allo standard PCI e all'accesso alla memoria primaria. La latenza di un MPI era un ¼ dell'Infiniband, e 1/30 di una Gigabit Ethernet.
L'XD1 venne sviluppato originariamente dalla OctigaBay Systems Corp. a Vancouver in Canada come il sistema OctigaBay 12K. La compagnia venne acquisita dalla Cray Inc. nel febbraio 2004.
Presentato il 4 ottobre 2004 il Cray XD1 includeva una FPGA Xilinx Virtex-II per accelerare le applicazioni. Uno chassis poteva contenere 12 processori e 12 chassis potevano venir ospitati in un rack. Un sistema XD1 poteva accogliere più rack per espandere le prestazioni del sistema. Il sistema operativo dell'XD1 era una versione personalizzata di Linux e un gestore/bilanciatore di carico basato sul Sun Microsystems Grid Engine.",italian
"I fondi di cucina sono riduzioni liquide ottenute dalla cottura per espansione di soffritto (sedano, carota, cipolla) e di elementi nutritivi come ossa, carni e pesci. I fondi sono preparazioni di base per molte ricette, in particolare della cucina classica, come salse, vellutate, creme, cotture in umido di carni e pesci. I fondi vengono distinti in fondi bianchi e bruni.",italian
"Hedmond Henri Fischer (Shanghai, 6 aprile 1920) è un chimico e biologo svizzero naturalizzato statunitense.
Nato a Shanghai, all'età di sette anni venne mandato a studiare in Svizzera.
Si laureò in chimica nell'Accademia di Ginevra. Emigrò negli Stati Uniti per lavorare come ricercatore associato alla Fondazione Rockefeller.
Nel 1961 occupò la cattedra di biochimica dell'Università di Washington.
Ricevette il Premio Nobel per la medicina nel 1992 insieme a Edwin Krebs, per il suo lavoro sulla fosforilazione delle proteine.",italian
"Renato Salvatori, all'anagrafe Giuseppe (Seravezza, 20 marzo 1933 – Roma, 27 marzo 1988), è stato un attore italiano.",italian
"Il Programma di trasmigrazione (in indonesiano: Transmigrasi) fu un'iniziativa del governo coloniale olandese, successivamente portata avanti dal governo indonesiano, per spostare individui senza terra dalle aree più densamente popolate dell'Indonesia verso luoghi meno popolosi del paese. Ciò significò trasferire permanentemente abitanti dall'isola di Giava, e in misura minore anche da Bali e Madura, verso aree quali Papua occidentale, Kalimantan, Sumatra e Sulawesi. L'obbiettivo dichiarato di tale programma era quello di ridurre la povertà e la sovrappopolazione dell'isola di Giava e allo stesso tempo fornire forza lavoro per utilizzare meglio le risorse naturali delle isole periferiche. Tuttavia il programma è stato fortemente criticato vista la paura di ""giavanizzazione"" ed ""islamizzazione"" delle popolazioni native locali che ha portato alla nascita di movimenti separatisti e a violenze etniche.",italian
"Thomas Allom (Lambeth, 13 marzo 1804 – Barnes, 21 agosto 1872) è stato un architetto, pittore e topografo inglese, tra i fondatori del Royal Institute of British Architects.",italian
Il Rio Jacaré-Guaçu è un affluente del fiume Tietê nello Stato di San Paolo in Brasile.,italian
"Anass Achahbar (in arabo: أنس أشحبار‎; L'Aia, 13 gennaio 1994) è un calciatore olandese, di origine marocchina, attaccante del NEC Nijmegen in prestito dal PEC Zwolle.",italian
"La Liberia ha partecipato alle Giochi della XXIX Olimpiade di Pechino, svoltisi dall'8 al 24 agosto 2008, con una delegazione di 3 atleti.",italian
"L'aeroporto internazionale di Assab è un aeroporto situato ad Assab, nella Regione del Mar Rosso Meridionale, in Eritrea.
Venne costruito ai tempi della colonia Eritrea italiana.
Dal 24 settembre 1935 arrivano la 17ª Squadriglia e la 18ª Squadriglia, dal 2 ottobre successivo il XXVII Gruppo ed il Comando Aviazione di Assab, il 15 novembre la 19ª Squadriglia, il 23 novembre la 10ª Squadriglia da bombardamento ""Caproni"" ed al 30 dicembre 1935 era sede della 105ª Squadriglia della Regia Aeronautica.
Al 3 agosto 1936 era sede del XXVI Gruppo, nel novembre successivo della 105ª Squadriglia ed al 1º luglio 1937 della 118ª Squadriglia.
Danneggiato durante la Seconda guerra mondiale, viene utilizzato solo per voli privati ​​e militari.",italian
"Max Schirschin (Krzanowice, 29 gennaio 1921 – 16 marzo 2013) è stato un allenatore di calcio e calciatore tedesco, di ruolo difensore.",italian
"Ritter, Dene, Voss è un'opera teatrale del drammaturgo austriaco Thomas Bernhard, scritta nel 1984 e messa in scena nel corso del Festival di Salisburgo del 1986, quindi riproposto all'Akademietheater e più tardi al Berliner Ensemble (2004).
La vicenda è, in parte, ispirata alla figura del matematico e filosofo Ludwig Wittgenstein. Il nome dell'opera deriva dal cognome dei tre attori scelti dal regista Claus Peymann per la prima: Ilse Ritter, Kirsten Dene e Gert Voss.",italian
"Maria Leopoldina d'Asburgo-Este (Milano, 10 dicembre 1776 – Wasserburg am Inn, 23 giugno 1848) fu un'arciduchessa della casa d'Asburgo-Este per nascita, elettrice di Baviera, come moglie di Carlo Teodoro, e infine contessa d'Arco per matrimonio.",italian
"Gli Small Faces sono stati un gruppo musicale formatosi nel 1965 a Londra, ricordati come una delle più acclamate e influenti band mod degli anni sessanta.",italian
"Filippo II di Nassau-Weilburg (Weilburg, 14 marzo 1418 – Magonza, 19 marzo 1492) fu Conte di Nassau e Weilburg dal 1429 al 1492.",italian
"Porrhomma Simon, 1884 è un genere di ragni appartenente alla famiglia Linyphiidae.",italian
"Il singolare del torneo di tennis Lion's Cup 1981, facente parte dei Tornei di tennis femminili indipendenti nel 1981, ha avuto come vincitrice Martina Navrátilová che ha battuto in finale Chris Evert 6-3, 6-2.",italian
Formazioni delle squadre di pallavolo partecipanti alla stagione 2012-2013 del campionato finlandese di pallavolo femminile.,italian
"Il Westonbirt National Arboretum è un arboreto nei pressi di Tetbury, nel Gloucestershire, in Inghilterra, ed è forse l'arboreto più importante e più noto del Regno Unito. È diretto dalla Foresty Commission (Commissione di Silvicoltura) inglese, che dirige anche il Pinetum di Bedgebury.
L'arboreto è stato fondato nel 1829 da Robert Stayner Holford, che aveva ereditato la proprietà, e in seguito è stato esteso da Sir George Holford, suo figlio. Si trova nelle vicinanze di Westonbirt House, attualmente un collegio femminile, ma non rappresenta il giardino del collegio, che invece si trova dall'altro lato di una strada pubblica.
Dopo la morte di George Holford, nel 1926 divenne proprietà di suo nipote, il quarto Conte di Morley, ed infine passò alla Foresty Commission nel 1956.
L'arboreto di Westonbirt contiene circa 18.000 alberi ed arbusti, disposti su una superficie di circa 600 acri (2.4 km²). Le sue 17 miglia (27 km) di percorsi contrassegnati sono molto apprezzate dagli ospiti dell'arboreto e consentono l'accesso ad un'ampia varietà di piante rare.",italian
"I Liósálfar, o Elfi della Luce, sono una tipologia di elfo della mitologia norrena, in contrasto con i Døkkálfar, gli elfi delle Tenebre.
Gli Elfi della Luce vivono nell'Álfheimr che si trova nel cielo.
Di solito gli elfi, anche chiamati veggenti perché riescono a vedere nel futuro, gestiscono la prosperità e i cinque elementi, sono grandi amanti delle arti e della bellezza in generale. Possono esserci varie categorie di Elfi della Luce come quelli delle Stelle, gli Elfi Silvani e i Mezz'elfi.",italian
"Miramar è un distretto residenziale del municipio di Playa all'Avana.
Il quartiere si sviluppa lungo il mare nella parte più occidentale dell'Avana, oltre il fiume Almendares. Ospita molte missioni diplomatiche, concentrate soprattutto lungo la Quinta Avenida, tra le quali spicca l'ambasciata russa. Prima della Rivoluzione cubana il Miramar era un quartiere dell'alta borghesia, come testimoniano le numerose villette, alcune delle quali rimangono in stato di abbandono.",italian
"Adobe Acrobat è un'applicazione realizzata da Adobe Systems per creare e modificare file in formato PDF.
Adobe Acrobat, in quanto prodotto dalla stessa società che ha sviluppato il PDF, è stato il primo programma in grado di lavorare su questo formato.",italian
"La cappella di Santa Maria a Colle di Lupo è un edificio religioso situato nel comune di Magliano in Toscana. La sua ubicazione è presso lo storico complesso della Fattoria di Colle di Lupo, presso l'omonima località nella parte orientale del territorio comunale.
La piccola chiesa fu eretta per volontà del Conte Gino Ghezzi in onore ed in memoria della zia la N.D. Adele Franceschi e fu inaugurata il 9 giugno 1932.
La cappella di Santa Maria a Colle di Lupo si presenta in stile neoclassico, con una caratteristica pianta circolare preceduta e seguita lungo lo stesso asse da due avancorpi, di cui uno breve anteriore ed uno lungo posteriore.
Le strutture murarie esterne si presentano interamente rivestite in blocchi di pietra, con varie monofore ad arco tondo che si aprono lungo le pareti esterne laterali e attorno al tiburio della cupola circolare. Sul tetto dell'avancorpo posteriore di forma più allungata si eleva un campanile a vela che include le celle campanarie.
Il portale d'ingresso rettangolare architravato e modanato, preceduto da una serie di gradini, si apre presso il centro dell'avancorpo anteriore che si presenta sotto forma di pronao. L'architrave del portale costituisce la base per l'arco che racchiude un'ampia lunetta in cui si aprono tre monofore, anch'esse ad arco tondo, delle quali la centrale risulta più alta rispetto alle laterali.
L'interno, ad aula unica, è caratterizzato dalla presenza di una serie di colonne a sezione circolare, che nell'insieme costituiscono la base
degli archi a tutto sesto sui quali trova appoggio il tiburio della cupola circolare.",italian
"Iridella (Rainbow Brite) è una serie televisiva animata del  1985 prodotta da DiC Enterprises, Hallmark Home Entertainment e da Mattel, composta da 13 episodi e ispirata alla linea di bambole omonime prodotte da Mattel. Nello stesso anno fu realizzato anche un film d'animazione: Iridella e il ladro di stelle.",italian
"Jack Abernathy (Contea di Bosque, 1876 – Wichita Falls, 1941) è stato un poliziotto statunitense. È stato il più giovane membro dell'United States Marshals Service della storia.",italian
Una motonave (sigla M/N) è una nave da carico o adibita al trasporto di passeggeri azionata da uno o più motori (generalmente di tipo Diesel) a combustione interna.,italian
"Tamburi d'autunno (Drums of Autumn) è un romanzo scritto da Diana Gabaldon e pubblicato nel 1997. Costituisce la prima parte di Drums of Autumn, il quarto volume della serie di Outlander. La quarta stagione della serie televisiva omonima, prevista per il 2018, dovrebbe ispirarsi a questo capitolo della saga.",italian
"Edmond Malinvaud (Limoges, 25 aprile 1923 – Parigi, 7 marzo 2015) è stato un economista francese.
Docente all'università di Berkeley dal 1961 al 1967 e all'università di Parigi dal 1971 al 1973, ha rivestito dal 1974 al 1976 la carica di presidente dell'International economic association.
Direttore dell'INSEE dal 1974 al 1987, fu il primo presidente della Pontificia accademia delle scienze sociali (1994-2004), di cui è stato successivamente accademico onorario.
Durante la sua carriera ha pubblicato notevoli saggi di rilevanza internazionale.",italian
"Tarcondimoto Filantonio (greco: Ταρκονδιμότος Φιλαντώνιος; latino: Tarcondimotus o Tarkondimotus; ... – ...) è stato un re della Cilicia Trachea del I secolo a.C..
Era probabilmente in origine un capo dei pirati cilici, sconfitti da Pompeo nel 66 a.C. Probabilmente sempre da Pompeo ottenne gran parte della Cilicia Trachea. I suoi domini comprendevano anche la città greca di Ierapoli Castabala, che gli dedicò alcune iscrizioni onorarie, indicandolo come protettore della città.
Dapprima fu dalla parte di Pompeo poi a fianco di Giulio Cesare e quindi dalla parte di Cassio.
In seguito, nella guerra civile tra Ottaviano e Marco Antonio, si schierò al fianco di quest'ultimo, che nel 39 a.C. lo aveva nominato re di Anazarbe in Cilicia. Fu proprio questa sua posizione a guadagnargli l'appellativo di Φιλαντώνιος.
Tarcondimoto morì nel 31 a.C., prima della Battaglia di Azio, quando la flotta principale di Marco Antonio, guidata da Gaio Sosio, tentò di forzare il blocco avversario opposto da Lucio Arrunzio. Sosio fu dissuaso dal suo intento per l'arrivo dei rincalzi guidati da Marco Vipsanio Agrippa e il suo alleato Tarcondimoto, in quell'occasione, fu catturato e ucciso.A succedergli fu suo figlio, Tarcondimoto II Filopatore (gr. Φιλοπάτωρ, Philopàtōr).
Cicerone, governatore romano della Cilicia nel 52 a.C., che da Tarcondimoto ebbe informazioni sui Parti, lo descrive nel 51 a.C. come «fedelissimo alleato nelle terre oltre il Tauro e amicissimo del popolo romano» («socius fidelissimus trans Taurum amicissimusque Populi Romani»)",italian
Il 265 (CCLXV in numeri romani) è un anno  del III secolo.,italian
Mrgashen (in armeno Մրգաշեն) è un comune dell'Armenia di 2 043 abitanti (2008) della provincia di Kotayk'.,italian
La Venezia è stata una pirofregata corazzata della Regia Marina.,italian
"Il luogo delle saline di Augusta è un'area naturale protetta con normativa della Comunità europea, ricadente sul territorio comunale di Augusta, nella provincia italiana di Siracusa.",italian
"Antonio Cece (Saviano, 1907 – Roma, 1971) è stato un compositore e direttore d'orchestra italiano.
Fu uno dei grandi musicisti della musica napoletana dello scorso secolo e fratello di Alfredo Cece.",italian
"La tragedia di X (titolo originale The Tragedy of X) è un romanzo del 1932 dell'autore americano Ellery Queen, il primo della serie con protagonista Drury Lane. Il romanzo, in origine pubblicato a firma Barnaby Ross, è composto come un testo teatrale: tre atti più un capitolo finale intitolato Dietro le quinte. Ogni atto è composto da diverse scene e ogni scena è titolata e riporta la data e l'ora dell'evento narrato.

",italian
